A,B,C,D,E,F
28,219.21,19,98.55,-48.1774,-53.5064
3,19.38,8,21.5,0.618036,1.90211
29,227.35,15,70.44,-38.1051,-22
19,147.2,7,14.01,-32.6753,-12.5429
27,211.33,23,125.98,-21.9186,-44.9397
29,227.15,34,203.37,86.9166,13.7662
34,267.08,35,210.51,94.8803,20.1674
23,179.43,7,14.36,-14.2658,-4.63525
14,107.34,19,98.31,-67.6117,-54.7508
30,234.97,32,189.23,-23.3827,-13.5
15,115.4,25,139.98,-23.1767,-38.5725
16,123.06,37,224.28,-31.0279,-55.9756
21,163.16,5,0.05,25.916,27.7914
4,27.22,19,98.2,98.0365,13.7781
19,147.18,25,140,-42.9084,-59.0582
30,235.2,34,203.53,42.0837,86.2842
30,235.09,11,42.16,-2.87736,-2.77863
6,43.26,18,91,-65.46,-63.2139
5,35.3,14,63.34,42.3815,22.5346
2,11.36,26,147.44,73.8289,59.7854
38,299.22,9,28.01,4.44627,12.216
26,203.12,10,35.26,7.27216,13.1193
28,219.5,7,14.03,52.2805,20.0686
27,211.5,22,118.98,-47.8152,-14.6186
6,43.09,34,203.3,25.3587,88.4361
39,307.27,6,7.05,-7.4565,-10.649
13,99.1,7,14.4,73.4484,9.01832
1,3.39,27,154.37,57.0634,18.541
17,131.25,9,28.28,13.5063,47.1018
33,259.25,24,133.44,23.7665,69.0228
8,59.29,38,231.44,0,0
39,307.3,30,176.43,-48.2215,-16.604
9,66.99,6,7.53,-57.0152,-78.4746
12,91.29,27,154.18,21.1716,8.98681
32,251.45,36,217.33,-3.31615,-2.23677
32,251.33,13,56,2.00739,2.22943
28,218.99,19,98.48,-16.4821,-35.346
15,114.99,22,119.31,37.1696,7.90064
13,98.99,29,168.29,28.3271,47.1442
0,-4.95,13,56.06,-38.9009,-40.283
30,235.46,29,168.21,-7.60845,-2.47213
29,227.09,27,154.45,60.8533,16.3056
20,155.48,22,119.4,-67.1484,-48.7861
12,90.99,15,70.11,-37.2148,-27.0381
18,139.03,39,238,6.57785,2.39414
36,283.35,16,77.03,-1.75424,-5.73783
31,243.4,13,56.07,-82.1551,-31.5364
11,83.09,19,98.3,-27.6761,-17.9731
26,203.49,10,35.39,28.9488,35.7487
5,35.13,15,70.13,0,0
31,243.25,20,105.05,12.2447,6.78733
28,219.34,30,175.18,-71.1136,-11.2633
10,75.36,18,91.18,52.863,65.2802
10,75.08,30,175.29,-30.9291,-89.8242
29,226.99,12,49.33,45.0745,36.5006
38,298.98,33,196.28,-56.8279,-54.878
37,291.07,37,224.24,-12.6335,-11.3752
21,163.5,16,76.97,94.2919,11.5776
38,299.42,35,210.45,-29.326,-31.4482
36,283.15,34,203.45,36.7372,27.6835
25,195.02,6,7.47,27.1936,83.6929
21,163.02,37,224.55,-48.6498,-72.1262
35,275.03,6,7.4,-1.98054,-0.278346
28,219.53,30,175,-36.7089,-52.4257
16,123.09,38,231.47,-17.3553,-20.6832
35,275.55,2,-20.5,-16.9048,-36.2523
20,155.38,7,14.07,-43.5028,-20.2857
3,19.56,39,238.06,11.1472,10.037
3,19.2,26,147.42,-64.1079,-68.7472
25,195.11,15,70.33,-2.71892,-1.26785
33,259.41,10,35.12,40.9941,87.9118
17,131.34,31,182.41,-0.984808,-0.173648
37,291.19,35,210.13,-25.4559,-25.4558
5,35.56,13,56.28,-53.6826,-79.5876
6,43.47,26,147.5,25.605,4.51485
13,99.16,39,238,54.1216,66.8345
5,35.2,5,0.45,-0.939693,-0.34202
24,187.53,39,238.16,-44.1286,-34.477
9,67.19,2,-20.89,4.01723,12.3637
25,195.48,29,168.2,22.5526,8.20848
38,299.06,26,147.14,15.7682,41.0775
25,195.06,39,238.2,-1.20363,-1.59727
0,-5.01,27,154.36,-38.0238,-27.6259
15,115.11,33,196.54,38.5767,79.0938
16,123.02,2,-20.78,-7.91274,-7.64124
32,251.16,8,21.35,-29.4828,-9.57952
14,107.31,14,63.5,-70.4708,-8.65272
32,250.98,26,147.16,0.961262,0.275637
2,11.53,5,0.45,61.8187,20.0861
39,306.99,39,237.98,37.6711,10.0939
0,-4.91,39,238.18,30.7169,28.6439
26,203.14,35,209.97,-36.5006,-45.0744
25,195.11,38,231.2,24.863,2.61321
35,275.45,39,238.17,-20.9939,-24.1507
26,203.24,18,91.14,11.6949,38.2522
17,131.5,2,-20.75,-42.9447,-16.4849
37,291.09,5,0.21,32.1796,30.0079
32,251.46,2,-20.93,-23.2441,-49.8469
1,3.17,8,20.97,41.7672,81.9726
37,291.07,15,70.52,73.7802,46.1029
5,35.33,0,-34.84,-47.1442,-28.3271
16,123.11,30,175.18,-88.6327,-15.6283
21,163.39,24,133.41,50.9469,14.6088
16,123.23,13,56.33,-15.9987,-28.8624
4,27.21,8,21.28,10.2694,3.94204
38,299.06,24,133.08,80.392,35.7928
29,227.41,23,125.97,73.296,26.6776
35,275.16,28,161.48,30.5053,68.5159
33,259.08,7,14.43,32.4823,58.5995
4,27.08,2,-20.58,61.8862,53.7968
1,3.3,15,70.22,-56.5087,-30.0462
7,51.02,8,21.39,-14.0037,-5.37551
8,59.29,17,84.53,50.4327,39.4023
9,67.26,24,133.53,31.1781,81.2215
35,275.49,35,210.06,79.4578,55.6369
15,115.47,15,70.07,-75.2386,-54.664
34,267.31,28,161.51,-58.8156,-22.5772
12,91.34,18,91.26,-23.6147,-13.0898
22,171.39,3,-13.84,-72.8116,-52.9006
23,179.14,15,70.47,82.2601,28.3244
12,90.99,34,203.04,28.0858,44.9465
30,235.16,0,-34.44,-38.1384,-78.1951
5,35.42,26,147.12,-90.3586,-25.9099
30,235.18,13,56.02,-78.7846,-13.8918
16,123.32,13,56.2,-62.5304,-7.67776
27,211.27,34,203.1,39.0151,79.9926
39,307.49,38,231.16,-67.987,-36.1493
28,219.05,20,105.43,-24.4537,-5.19779
17,131.42,8,21.27,60.8533,16.3056
37,291.28,7,14.39,-64.1997,-10.1682
34,267.11,6,7.06,0,0
0,-4.84,0,-34.52,-1.05984,-1.6961
34,267.15,3,-13.56,-54.5647,-12.5972
26,203.18,16,77.51,62.6549,6.58529
6,43.29,22,119.5,92.924,19.7516
9,67.06,24,133.05,-17.9184,-46.679
36,283.28,23,126.25,21.7859,3.06181
3,19.45,31,182.03,-30.5157,-57.3916
36,283.38,8,21.41,-4.8699,-12.0534
15,115.22,35,210.55,-5.4464,-8.3867
7,50.97,12,49.28,47.6422,5.84972
35,275.53,25,140.15,23.4755,4.98988
11,83.04,16,77.31,13.248,21.2012
21,163.38,25,140.18,9.2707,15.429
16,123.5,30,175.01,22.2163,5.95283
26,203.4,12,49.47,-63.1161,-19.2965
5,35.19,8,21.27,-19.7538,-3.12869
18,139.21,11,42.03,24.2405,43.731
29,227.09,10,35.03,62.1651,57.9698
23,179.19,13,56.42,18.7028,18.0611
5,35.41,12,49.07,-79.3543,-30.4613
2,10.97,28,161.28,-27.9597,-41.4519
15,115.17,17,84.16,-19.1591,-58.9655
27,210.97,11,42.46,42.6505,17.2319
37,291.38,31,182.2,-69.8557,-62.8982
12,91.21,13,56.33,33.5954,65.9345
