A,B,C,D,E,F
3,19.36,31,182.43,-43.7635,-45.3184
33,259.36,19,98.54,2.9708,0.417519
26,203.31,15,70.26,-14.9817,-29.4032
25,195.04,28,161.21,43.5202,35.2419
23,178.99,16,77.26,-8.9471,-13.2646
36,283.44,32,189.56,-31.9543,-33.0896
0,-4.64,12,49.36,4.81453,6.38908
12,91.04,22,119.44,-31.1127,-31.1127
8,59.3,9,28.25,-76.9563,-31.0923
14,107.49,19,98.08,22.0813,24.5238
24,187.38,23,126.53,11.0255,38.4505
30,235.29,28,160.99,-25.7741,-10.9405
30,235.13,15,70.02,-29.4418,-32.6983
7,51.53,16,77.53,-32.834,-90.2105
6,43.56,10,35.34,48.8567,38.171
1,3.43,17,84.13,-49.0476,-44.1626
5,35.41,2,-20.98,35.4714,30.8348
33,259.26,22,119.18,-13.523,-3.62346
24,187.5,6,7.18,73.7011,35.9464
26,203.17,22,119.13,-62.2244,-9.85536
12,91.27,10,35.46,-41.9659,-33.9833
18,139.08,21,112.37,93.5395,21.5953
6,43.27,9,28.18,0.976707,2.83655
11,83.44,21,112.55,26.6296,8.65247
21,163.24,23,126,24.0453,35.6486
19,147.44,11,42.38,-65.0539,-65.0538
25,195.24,21,112.03,41.8393,89.7244
6,43.23,32,189.53,40.7032,23.5
24,187.47,22,119.42,17.659,9.38942
1,3.38,10,35.53,-3.06418,-2.57115
37,291.32,5,-0.02,-3.96107,-0.556692
3,19.11,0,-34.47,65.0539,65.0538
26,203.56,38,231.47,-16.378,-50.406
25,195,7,14.17,0,0
23,179.18,21,112.02,-18.4508,-11.982
2,11.24,25,140.04,-20.6016,-34.2867
21,163.4,28,161.1,8.18399,8.77624
5,35.15,11,42,-28.0955,-13.1012
20,155.43,25,140.17,-59.1562,-73.0517
20,154.98,19,98.18,16.0072,20.4883
31,243.46,37,224.26,-3.65418,-1.62695
3,19.46,25,140.4,-59.7192,-76.437
35,275.25,35,210.16,31.4121,6.10588
1,3.41,23,126.04,-6.5078,-14.6167
25,195.01,3,-13.79,10.4743,36.5279
14,107.18,10,35.48,14.0842,26.4884
12,91.42,16,77.34,32.539,73.0836
14,107.53,20,105.19,-7.08032,-10.9027
18,139.45,8,21.1,-26.0044,-20.3168
15,115.49,29,168.47,-88.2969,-22.0149
11,83,1,-27.81,-65.3381,-34.7409
1,3.35,1,-27.94,95.4741,10.0347
21,163.07,37,224.18,-55.3802,-68.3888
25,195.2,5,0.3,26.4745,9.1159
